"Sr. No.","State","Hon'ble Members of Parliament","Elected/Nominated","Allocated AMOUNT ( ₹ )"
"75","Karnataka","BASAVARAJ BOMMAI (2024-2029)","Elected MP","147000000"
"76","Andhra Pradesh","BASTIPATI NAGARAJU PANCHALINGALA (2024-2029)","Elected MP","159998515.11"
"77","Rajasthan","Bhagirath Chaudhary (2024-2029)","Elected MP","147000000"
"78","Rajasthan","BHAJAN LAL JATAV (2024-2029)","Elected MP","147000000"
"79","Madhya Pradesh","BHARAT SINGH KUSHWAH (2024-2029)","Elected MP","151455276.04"
"80","Gujarat","BHARATBHAI MANUBHAI SUTARIYA (2024-2029)","Elected MP","147000000"
"81","Gujarat","Bharatsinhji Shankarji Dabhi (2024-2029)","Elected MP","147000000"
"82","Madhya Pradesh","BHARTI PARDHI (2024-2029)","Elected MP","154398389.01"
"83","Maharashtra","BHASKAR MURLIDHAR BHAGARE (2024-2029)","Elected MP","147000000"
"84","Maharashtra","BHAUSAHEB RAJARAM WAKCHAURE (2024-2029)","Elected MP","147000000"
"85","Chhattisgarh","BHOJRAJ NAG (2024-2029)","Elected MP","164672734.11"
"86","Uttar Pradesh","Bhola Singh (2024-2029)","Elected MP","147000000"
"87","Maharashtra","BHUMARE SANDIPANRAO ASARAM (2024-2029)","Elected MP","147000000"
"88","Andhra Pradesh","Bhupathiraju Srinivasa varma (2024-2029)","Elected MP","147000000"
"89","Rajasthan","BHUPENDER YADAV (2024-2029)","Elected MP","147000000"
"90","Odisha","BIBHU PRASAD TARAI (2024-2029)","Elected MP","147000000"
"91","Jharkhand","Bidyut Baran Mahato (2024-2029)","Elected MP","147000000"
"92","Assam","BIJULI KALITA MEDHI (2024-2029)","Elected MP","147000000"
"93","Tripura","BIPLAB KUMAR DEB (2024-2029)","Elected MP","147000000"
"94","Andaman And Nicobar Islands","BISHNU PADA RAY (2024-2029)","Elected MP","147000000"
"95","Rajasthan","BRIJENDRA SINGH OLA (2024-2029)","Elected MP","147000000"
"96","Chhattisgarh","BRIJMOHAN AGRAWAL (2024-2029)","Elected MP","153766451.11"
"97","Madhya Pradesh","BUNTY VIVEK SAHU (2024-2029)","Elected MP","147000000"
"98","Gujarat","C R Patil (2024-2029)","Elected MP","158532494.36"
"99","Andhra Pradesh","C.M.RAMESH (2024-2029)","Elected MP","202531656.11"
"100","Karnataka","CAPTAIN BRIJESH CHOWTA (2024-2029)","Elected MP","147000000"
"101","Goa","CAPTAIN VIRIATO FERNANDES (2024-2029)","Elected MP","147000000"
"102","Telangana","CHAMALA KIRAN KUMAR REDDY (2024-2029)","Elected MP","147000000"
"103","Uttar Pradesh","CHANDAN CHAUHAN (2024-2029)","Elected MP","147000000"
"104","Rajasthan","Chandra Prakash Joshi (2024-2029)","Elected MP","147000000"
"105","Uttar Pradesh","CHANDRA SHEKHAR (2024-2029)","Elected MP","147000000"
"106","Gujarat","CHANDUBHAI CHHAGANBHAI SHIHORA (2024-2029)","Elected MP","147000000"
"107","Punjab","CHARANJIT SINGH CHANNI (2024-2029)","Elected MP","147000000"
"108","Maharashtra","CHAVAN VASANTRAO BALWANTRAO (2024-2024)","Elected MP",""
"109","Uttar Pradesh","CHHATRA PAL SINGH GANGWAR (2024-2029)","Elected MP","147000000"
"110","Maharashtra","CHHATRAPATI SHAHU SHAHAJI (2024-2029)","Elected MP","147000000"
"111","Uttar Pradesh","CHHOTELAL (2024-2029)","Elected MP","147000000"
"112","Chhattisgarh","CHINTAMANI MAHARAJ (2024-2029)","Elected MP","147000000"
"113","Bihar","CHIRAG PASWAN (2024-2029)","Elected MP","147000000"
"114","Tamil Nadu","CN Annadurai (2024-2029)","Elected MP","148579509.11"
"115","Tamil Nadu","D M Kathir Anand (2024-2029)","Elected MP","160196941.11"
"116","Tamil Nadu","D Ravikumar  (2024-2029)","Elected MP","197598306.11"
"117","Andhra Pradesh","Daggubati Purandeshwari (2024-2029)","Elected MP","147000000"
"118","Andhra Pradesh","DAGGUMALLA PRASADA RAO (2024-2029)","Elected MP","147000000"
"119","Rajasthan","DAMODAR AGARWAL (2024-2029)","Elected MP","147000000"
"120","Uttar Pradesh","DAROGA PRASAD SAROJ (2024-2029)","Elected MP","147000000"
"121","Madhya Pradesh","DARSHAN SINGH CHOUDHARY (2024-2029)","Elected MP","147000000"
"122","Haryana","DEEPENDER SINGH HOODA (2024-2029)","Elected MP","147000000"
"123","Uttar Pradesh","Devendra Alias Bhole Singh (2024-2029)","Elected MP","147000000"
"124","Bihar","DEVESH CHANDRA THAKUR (2024-2029)","Elected MP","163809205.11"
"125","Uttar Pradesh","DEVESH SHAKYA (2024-2029)","Elected MP","147000000"
"126","Gujarat","Devusinh Jesingbhai Chauhan (2024-2029)","Elected MP","147000000"
"127","Maharashtra","Dhairyasheel Sambhajirao Mane (2024-2029)","Elected MP","147000000"
"128","Maharashtra","DHANORKAR PRATIBHA SURESH ALIAS BALUBHAU (2024-2029)","Elected MP","147000000"
"129","Odisha","DHARMENDRA PRADHAN (2024-2029)","Elected MP","147000000"
"130","Uttar Pradesh","DHARMENDRA YADAV (2024-2029)","Elected MP","147000000"
"131","Gujarat","DHAVAL LAXMANBHAI PATEL (2024-2029)","Elected MP","147000000"
"132","Bihar","Dileshwar Kamait  (2024-2029)","Elected MP","150450930.89"
"133","Assam","Dilip Saikia (2024-2029)","Elected MP","147000000"
"134","Bihar","Dinesh Chandra Yadav (2024-2029)","Elected MP","150070866.11"
"135","Gujarat","DINESHBHAI MAKWANA (2024-2029)","Elected MP","160434965.11"
"136","Andhra Pradesh","DR BYREDDY SHABARI (2024-2029)","Elected MP","150675889.11"
"137","Karnataka","DR C N MANJUNATH (2024-2029)","Elected MP","147000000"
"138","Andhra Pradesh","Dr Chandra Sekhar Pemmasani (2024-2029)","Elected MP","159774113.11"
"139","Punjab","DR DHARAMVIRA GANDHI (2024-2029)","Elected MP","147000000"
"140","West Bengal","Dr Jayanta Kumar Roy (2024-2029)","Elected MP","147000000"
"141","Maharashtra","DR KALGE SHIVAJI BANDAPPA (2024-2029)","Elected MP","147000000"
"142","Bihar","Dr Mohammad Jawed (2024-2029)","Elected MP","148669229.11"
"143","Uttar Pradesh","DR RAJKUMAR SANGWAN (2024-2029)","Elected MP","147000000"
"144","Tamil Nadu","DR RANI SRI KUMAR (2024-2029)","Elected MP","153060922.82"
"145","Kerala","Dr Shashi Tharoor (2024-2029)","Elected MP","147000000"
