"Sr. No.","State","Hon'ble Members of Parliament","Elected/Nominated","Allocated AMOUNT ( ₹ )"
"320","Assam","PARIMAL SUKLABAIDYA (2024-2029)","Elected MP","148300157.11"
"321","Gujarat","PARSHOTTAMBHAI RUPALA (2024-2029)","Elected MP","147000000"
"322","West Bengal","PARTHA BHOWMICK (2024-2029)","Elected MP","147000000"
"323","Karnataka","Parvatagouda Chandanagouda Gaddigoudar (2024-2029)","Elected MP","167541747.11"
"324","The Dadra And Nagar Haveli And Daman And Diu","PATEL UMESHBHAI BABUBHAI (2024-2029)","Elected MP","245063957"
"325","West Bengal","PATHAN YUSUF (2024-2029)","Elected MP","147000000"
"326","Assam","PHANI BHUSAN CHOUDHURY (2024-2029)","Elected MP","147000000"
"327","Maharashtra","Piyush Vedprakash Goyal (2024-2029)","Elected MP","147000000"
"328","Andhra Pradesh","PRABHAKAR REDDY VEMIREDDY (2024-2029)","Elected MP","147000000"
"329","Gujarat","Prabhubhai Nagarbhai Vasava (2024-2029)","Elected MP","147000000"
"330","Assam","Pradan Baruah (2024-2029)","Elected MP","147000000"
"331","Bihar","Pradeep Kumar Singh (2024-2029)","Elected MP","147000000"
"332","Odisha","PRADEEP PUROHIT (2024-2029)","Elected MP","147000000"
"333","Assam","Pradyut Bordoloi (2024-2029)","Elected MP","98000000"
"334","Karnataka","Pralhad Venkatesh Joshi (2024-2029)","Elected MP","154968555.11"
"335","Maharashtra","PRANITI SUSHILKUMAR SHINDE (2024-2029)","Elected MP","147000000"
"336","West Bengal","Prasun Banerjee (2024-2029)","Elected MP","147000000"
"337","Odisha","Pratap Chandra Sarangi (2024-2029)","Elected MP","147064254.11"
"338","Maharashtra","Prataprao Jadhav (2024-2029)","Elected MP","147000000"
"339","West Bengal","Pratima Mondal  (2024-2029)","Elected MP","147000000"
"340","Delhi","Praveen Khandelwal (2024-2029)","Elected MP","147470276"
"341","Uttar Pradesh","PRAVEEN PATEL (2024-2029)","Elected MP","151559884.09"
"342","Uttar Pradesh","PRIYA SAROJ (2024-2029)","Elected MP","147000000"
"343","Kerala","Priyanka Gandhi Vadra (2024-2029)","Elected MP","122500000"
"344","Karnataka","PRIYANKA SATISH JARKIHOLI (2024-2029)","Elected MP","147000000"
"345","West Bengal","Prof Sougata Ray (2024-2029)","Elected MP","147000000"
"346","Uttar Pradesh","Prof SP Singh Baghel (2024-2029)","Elected MP","147000000"
"347","Uttar Pradesh","PUSHPENDRA SAROJ (2024-2029)","Elected MP","147000000"
"348","Andhra Pradesh","Putta Mahesh Kumar (2024-2029)","Elected MP","147000000"
"349","Uttar Pradesh","R.K. CHAUDHARY (2024-2029)","Elected MP","147000000"
"350","Odisha","RABINDRA NARAYAN BEHERA (2024-2029)","Elected MP","147064617.11"
"351","West Bengal","RACHNA BANERJEE (2024-2029)","Elected MP","147000000"
"352","Bihar","Radha Mohan Singh (2024-2029)","Elected MP","147000000"
"353","Karnataka","RADHAKRISHNA (2024-2029)","Elected MP","147000000"
"354","Chhattisgarh","RADHE SHYAM RATHIYA (2024-2029)","Elected MP","159706972.09"
"355","Uttar Pradesh","RAHUL GANDHI (2024-2029)","Elected MP","147000000"
"356","Rajasthan","Rahul Kaswan (2024-2029)","Elected MP","147000000"
"357","Madhya Pradesh","RAHUL SINGH LODHI (2024-2029)","Elected MP","163058785.37"
"358","Bihar","RAJ BHUSHAN CHOUDHARY (2024-2029)","Elected MP","147000000"
"359","Rajasthan","RAJ KUMAR ROAT (2024-2029)","Elected MP","147000000"
"360","Bihar","RAJA RAM SINGH (2024-2029)","Elected MP","147000000"
"361","Maharashtra","RAJABHAU (2024-2029)","Elected MP","152878682.11"
"362","Himachal Pradesh","RAJEEV BHARDWAJ (2024-2029)","Elected MP","179388967.11"
"363","Uttar Pradesh","RAJEEV RAI (2024-2029)","Elected MP","147000000"
"364","Bihar","RAJESH RANJAN ALIAS PAPPU YADAV (2024-2029)","Elected MP","147000000"
"365","Bihar","RAJESH VERMA (2024-2029)","Elected MP","147000000"
"366","Gujarat","Rajeshbhai Naranbhai Chudasama (2024-2029)","Elected MP","147000000"
"367","Bihar","Rajiv Pratap Rudy (2024-2029)","Elected MP","147000000"
"368","Bihar","Rajiv Ranjan (Lalan) Singh (2024-2029)","Elected MP","147000000"
"369","Uttar Pradesh","Rajkumar Chahar  (2024-2029)","Elected MP","147000000"
"370","Uttar Pradesh","Rajnath Singh (2024-2029)","Elected MP","154808797.11"
"371","Gujarat","RAJPALSINH MAHENDRASINH JADAV (2024-2029)","Elected MP","147000000"
"372","West Bengal","Raju Bista (2024-2029)","Elected MP","147000000"
"373","Uttar Pradesh","RAKESH RATHOR (2024-2029)","Elected MP","147000000"
"374","Assam","RAKIBUL HUSSAIN (2024-2029)","Elected MP","147000000"
"375","Uttar Pradesh","RAM PRASAD CHAUDHARY (2024-2029)","Elected MP","204176957.11"
"376","Uttar Pradesh","Ram Shiromani (2024-2029)","Elected MP","151746878.11"
"377","Telangana","RAMASAHAYAM RAGHURAM REDDY (2024-2029)","Elected MP","147000000"
"378","Uttar Pradesh","RAMASHANKAR RAJBHAR (2024-2029)","Elected MP","160056927.07"
"379","Uttar Pradesh","RAMBHUAL NISHAD (2024-2029)","Elected MP","151231957.11"
"380","Uttar Pradesh","RAMESH AWASTHI (2024-2029)","Elected MP","147000000"
"381","Karnataka","Ramesh Chandappa Jigajinagi (2024-2029)","Elected MP","269500000"
"382","Bihar","Ramprit Mandal (2024-2029)","Elected MP","147000000"
"383","Delhi","Ramvir Singh Bidhuri (2024-2029)","Elected MP","147559100"
"384","Assam","RANJIT DUTTA (2024-2029)","Elected MP","147000000"
"385","Haryana","Rao Inderjit Singh (2024-2029)","Elected MP","147000000"
"386","Rajasthan","Rao Rajendra Singh (2024-2029)","Elected MP","147000000"
"387","Bihar","Ravi Shankar Prasad (2024-2029)","Elected MP","147000000"
"388","Maharashtra","RAVINDRA DATTARAM WAIKAR (2024-2029)","Elected MP","147000000"
"389","Uttar Pradesh","Ravindra Shyamnarayan Alias Ravi Kishan Shukla (2024-2029)","Elected MP","147000000"
"390","Maharashtra","Ravindra Vasantrao Chavan (2024-2029)","Elected MP","147000000"
"391","Mizoram","RICHARD VANLALHMANGAIHA (2024-2029)","Elected MP","147000000"
"392","Tamil Nadu","ROBERT BRUCE C (2024-2029)","Elected MP","147475440.11"
"393","Madhya Pradesh","Rodmal Nagar  (2024-2029)","Elected MP","147000000"
"394","Chhattisgarh","ROOP KUMARI CHOUDHARY (2024-2029)","Elected MP","153035414"
"395","Uttar Pradesh","RUCHI VIRA (2024-2029)","Elected MP","147000000"
"396","Odisha","RUDRA NARAYAN PANY (2024-2029)","Elected MP","155013957.11"
"397","Nagaland","S SUPONGMEREN JAMIR (2024-2029)","Elected MP","147000000"
"398","Tamil Nadu","S Venkatesan (2024-2029)","Elected MP","147000000"
"399","Tamil Nadu","S. Jagathrakshakan (2024-2029)","Elected MP","180589332.34"
"400","Tamil Nadu","SACHITHANANTHAM R (2024-2029)","Elected MP","147000000"
"401","Karnataka","SAGAR ESHWAR KHANDRE (2024-2029)","Elected MP","147000000"
"402","Meghalaya","SALENG A SANGMA (2024-2029)","Elected MP","147000000"
"403","Odisha","SAMBIT PATRA (2024-2029)","Elected MP","147000000"
"404","Uttar Pradesh","SANATAN PANDEY (2024-2029)","Elected MP","180420041.4"
"405","Maharashtra","SANJAY DINA PATIL (2024-2029)","Elected MP","147000000"
"406","Maharashtra","Sanjay Haribhau Jadhav (2024-2029)","Elected MP","147000000"
"407","Bihar","Sanjay Jaiswal (2024-2029)","Elected MP","147000000"
"408","Telangana","Sanjay Kumar Bandi (2024-2029)","Elected MP","172775317.11"
"409","Jharkhand","Sanjay Seth  (2024-2029)","Elected MP","147064357.11"
"410","Maharashtra","Sanjay Uttamrao Deshmukh (2024-2029)","Elected MP","185640423"
"411","Rajasthan","SANJNA JATAV (2024-2029)","Elected MP","147000000"
"412","Chhattisgarh","Santosh Pandey (2024-2029)","Elected MP","147000000"
"413","Odisha","Saptagiri Sankar Ulaka (2024-2029)","Elected MP","269500000"
"414","Punjab","SARABJEET SINGH KHALSA (2024-2029)","Elected MP","150850348.15"
"415","Tamil Nadu","Sasikanth Senthil (2024-2029)","Elected MP","171500000"
"416","Haryana","SATPAL BRAHAMCHARI (2024-2029)","Elected MP","147000000"
"417","West Bengal","Saumitra khan  (2024-2029)","Elected MP","147000000"
"418","Madhya Pradesh","SAVITRI THAKUR (2024-2029)","Elected MP","147000000"
"419","West Bengal","SAYANI GHOSH (2024-2029)","Elected MP","147000000"
"420","Haryana","SELJA (2024-2029)","Elected MP","147000000"
"421","Tamil Nadu","SELVAGANAPATHI T M (2024-2029)","Elected MP","147000000"
"422","Tamil Nadu","SELVARAJ V (2024-2029)","Elected MP","147000000"
"423","Kerala","SHAFI PARAMBIL (2024-2029)","Elected MP","147000000"
"424","Bihar","SHAMBHAVI (2024-2029)","Elected MP","147000000"
"425","Madhya Pradesh","Shankar Lalwani (2024-2029)","Elected MP","147000000"
"426","Uttar Pradesh","SHASHANK MANI (2024-2029)","Elected MP","147000000"
"427","West Bengal","Shatrughan Sinha (2024-2029)","Elected MP","147000000"
"428","Punjab","SHER SINGH GHUBAYA (2024-2029)","Elected MP","147000000"
"429","Madhya Pradesh","SHIVMANGAL SINGH TOMAR (2024-2029)","Elected MP","147000000"
"430","Madhya Pradesh","SHIVRAJ SINGH CHOUHAN (2024-2029)","Elected MP","147000000"
"431","Karnataka","SHOBHA KARANDLAJE (2024-2029)","Elected MP","147000000"
"432","Gujarat","SHOBHANABEN MAHENDRASINH BARAIYA (2024-2029)","Elected MP","147000000"
"433","Karnataka","SHREYAS. M. PATEL (2024-2029)","Elected MP","147000000"
"434","Haryana","Shri  Dharambir Singh (2024-2029)","Elected MP","147000000"
"435","West Bengal","Shri Abhishek Banerjee (2024-2029)","Elected MP","147000000"
"436","Punjab","Shri Amar Singh (2024-2029)","Elected MP","147000000"
"437","Gujarat","Shri Amit Shah (2024-2029)","Elected MP","147000000"
"438","Madhya Pradesh","Shri Anil Firojiya (2024-2029)","Elected MP","147000000"
"439","Rajasthan","Shri Arjun Ram Meghwal (2024-2029)","Elected MP","147000000"
"440","Uttar Pradesh","Shri Arun Kumar Sagar  (2024-2029)","Elected MP","147000000"
"441","Karnataka","Shri B Y Raghavendra  (2024-2029)","Elected MP","147000000"
"442","Kerala","Shri Benny Behanan (2024-2029)","Elected MP","164674770.11"
"443","Odisha","Shri Bhartruhari Mahtab (2024-2029)","Elected MP","147000000"
"444","Jharkhand","Shri Chandra Prakash Choudhary (2024-2029)","Elected MP","147000000"
"445","West Bengal","Shri Deepak (Dev) Adhikari  (2024-2029)","Elected MP","200747364"
"446","Punjab","Shri Gurjeet Singh Aujla (2024-2029)","Elected MP","147000000"
"447","Rajasthan","Shri Hanuman Beniwal (2024-2029)","Elected MP","147000000"
"448","Kerala","Shri Hibi Eden (2024-2029)","Elected MP","162177260.11"
"449","Bihar","Shri Janardan Singh Sigriwal  (2024-2029)","Elected MP","147000000"
"450","Odisha","Shri Jual Oram (2024-2029)","Elected MP","173096756.91"
"451","Jammu And Kashmir","Shri Jugal Kishore Sharma (2024-2029)","Elected MP","147000000"
"452","West Bengal","Shri Jyotirmay Singh Mahato  (2024-2029)","Elected MP","147000000"
"453","Tamil Nadu","Shri Karti P Chidambaram  (2024-2029)","Elected MP","159049284.11"
"454","Kerala","Shri Kumbakudi Sudhakaran (2024-2029)","Elected MP","147000000"
"455","Karnataka","Shri LS Tejasvi Surya  (2024-2029)","Elected MP","147000000"
"456","Kerala","Shri M K Raghavan (2024-2029)","Elected MP","147000000"
"457","Uttar Pradesh","Shri Narendra Modi (2024-2029)","Elected MP","162070276.11"
"458","Kerala","Shri NK Premachandran (2024-2029)","Elected MP","171477994.11"
"459","Rajasthan","Shri PP Chaudhary (2024-2029)","Elected MP","147000000"
"460","Kerala","Shri Rajmohan Unnithan  (2024-2029)","Elected MP","156754633.11"
"461","Assam","Shri Sarbananda Sonowal (18LS) (2024-2029)","Elected MP","147000000"
"462","Uttar Pradesh","Shri Satish Kumar Gautam  (2024-2029)","Elected MP","147000000"
"463","West Bengal","Shri Shantanu Thakur  (2024-2029)","Elected MP","147000000"
"464","Madhya Pradesh","Shri Sudheer Gupta  (2024-2029)","Elected MP","148988014.83"
"465","Kerala","Shri Suresh Kodikunnil (2024-2029)","Elected MP","172429519.11"
"466","Arunachal Pradesh","Shri Tapir Gao (2024-2029)","Elected MP","147000000"
"467","Tamil Nadu","Shri vijayakumar Vasanth (2024-2029)","Elected MP","171500000"
"468","Maharashtra","Shrikant Eknath Shinde (2024-2029)","Elected MP","147000000"
"469","Maharashtra","SHRIMANT CHH UDAYANRAJE PRATAPSINHAMAHARAJ BHONSLE (2024-2029)","Elected MP","147000000"
"470","Goa","Shripad Yesso Naik (2024-2029)","Elected MP","147000000"
"471","Maharashtra","Shrirang Appa Barne (2024-2029)","Elected MP","147000000"
"472","Maharashtra","Shyamkumar (2024-2029)","Elected MP","147000000"
"473","Andhra Pradesh","Sivanath Kesineni (2024-2029)","Elected MP","159864032.49"
"474","West Bengal","SK NURUL ISLAM (2024-2029)","Elected MP","49000000"
"475","Maharashtra","SMITA UDAY WAGH (2024-2029)","Elected MP","148107373.11"
"476","Uttar Pradesh","Smt Anupriya Patel (2024-2029)","Elected MP","147000000"
"477","Odisha","Smt Aparajita Sarangi (2024-2029)","Elected MP","147420861.41"
"478","Uttar Pradesh","Smt Dimple Yadav (2024-2029)","Elected MP","192042469.11"
"479","Punjab","Smt Harsimrat Kaur Badal (2024-2029)","Elected MP","159775982.39"
"480","Uttar Pradesh","Smt Hema Malini (2024-2029)","Elected MP","147000000"
"481","Madhya Pradesh","Smt Himadri Singh (2024-2029)","Elected MP","150724861.11"
"482","Gujarat","Smt Poonamben Hematbhai Maadam (2024-2029)","Elected MP","147000000"
"483","Maharashtra","Smt Raksha Nikhil Khadse (2024-2029)","Elected MP","153112586.11"
"484","Tamil Nadu","Smt S Jothimani (2024-2029)","Elected MP","147000000"
"485","West Bengal","Smt Sajda Ahmed (2024-2029)","Elected MP","147000000"
"486","Madhya Pradesh","Smt Sandhya Ray (2024-2029)","Elected MP","147000000"
"487","Odisha","Smt Sangeeta Kumari Singh Deo (2024-2029)","Elected MP","147000000"
"488","West Bengal","Smt Satabdi Roy (Banerjee) (2024-2029)","Elected MP","147000000"
"489","Maharashtra","Smt Supriya Sadanand Sule (2024-2029)","Elected MP","147000000"
"490","Bihar","Smt Veena Devi  (2024-2029)","Elected MP","147000000"
"491","Andhra Pradesh","Sribharat MathuKumli (2024-2029)","Elected MP","164841922"
"492","Bihar","SUDAMA PRASAD (2024-2029)","Elected MP","147000000"
"493","Tamil Nadu","SUDHA R (2024-2029)","Elected MP","147332315.11"
"494","Bihar","SUDHAKAR SINGH (2024-2029)","Elected MP","185211956.54"
"495","West Bengal","Sudip Bandyopadhyay (2024-2029)","Elected MP","147000000"
"496","Odisha","SUKANTA KUMAR PANIGRAHI (2024-2029)","Elected MP","190712424.11"
"497","Jharkhand","SUKHDEO BHAGAT (2024-2029)","Elected MP","171821957.11"
"498","Punjab","SUKHJINDER SINGH RANDHAWA (2024-2029)","Elected MP","147000000"
"499","Karnataka","SUNIL BOSE (2024-2029)","Elected MP","147000000"
"500","Maharashtra","Sunil Dattatray Tatkare (2024-2029)","Elected MP","147000000"
"501","Bihar","Sunil Kumar  (2024-2029)","Elected MP","147000000"
"502","Bihar","SURENDRA PRASAD YADAV (2024-2029)","Elected MP","155325714"
"503","Kerala","SURESH GOPI (2024-2029)","Elected MP","147000000"
"504","Himachal Pradesh","Suresh Kumar Kashyap (2024-2029)","Elected MP","153563957.11"
"505","Telangana","SURESH KUMAR SHETKAR (2024-2029)","Elected MP","147000000"
"506","Uttar Pradesh","Swami Sachchidanandhari Sakshi ji Maharaj  (2024-2029)","Elected MP","147000000"
"507","Tamil Nadu","T Sumathy (A) Thamizhachi Thangapandian  (2024-2029)","Elected MP","147000000"
"508","Andhra Pradesh","TANGELLA UDAY SRINIVAS (2024-2029)","Elected MP","199417886.76"
"509","Uttar Pradesh","TANUJ PUNIA (2024-2029)","Elected MP","148198170.11"
"510","Bihar","TARIQ ANWAR (2024-2029)","Elected MP","147000000"
"511","Tamil Nadu","Thalikkottai Rajuthevar Baalu (2024-2029)","Elected MP","196905535.11"
"512","Tamil Nadu","THANGA TAMILSELVAN (2024-2029)","Elected MP","167755939.81"
"513","Tamil Nadu","THARANIVENTHAN M S (2024-2029)","Elected MP","168337124.35"
"514","Tamil Nadu","Thiru Dayanidhi Maran (2024-2029)","Elected MP","147000000"
"515","Tamil Nadu","Thirumaa Valavan Thol (2024-2029)","Elected MP","147000000"
"516","Chhattisgarh","TOKHAN SAHU (2024-2029)","Elected MP","147000000"
"517","Uttarakhand","TRIVENDRA SINGH RAWAT (2024-2029)","Elected MP","147000000"
"518","Uttar Pradesh","UJJWAL RAMAN SINGH (2024-2029)","Elected MP","147000000"
"519","Rajasthan","UMMEDA RAM BENIWAL (2024-2029)","Elected MP","147000000"
"520","Uttar Pradesh","UTKARSH VERMA MADHUR (2024-2029)","Elected MP","147000000"
"521","Tamil Nadu","V S Matheswaran (2024-2029)","Elected MP","162539930.11"
"522","Karnataka","V. SOMANNA (2024-2029)","Elected MP","147000000"
"523","Puducherry","Vaithilingam Ve (2024-2029)","Elected MP","209368972.11"
"524","Telangana","VAMSI KRISHNA GADDAM (2024-2029)","Elected MP","148451721.11"
"525","Haryana","VARUN CHAUDHRY (2024-2029)","Elected MP","255454264"
"526","Kerala","Vellalath Kochukrishnan Nair Sreekandan (2024-2029)","Elected MP","167807990.11"
"527","Chhattisgarh","Vijay Baghel (2024-2029)","Elected MP","147000000"
"528","Uttar Pradesh","Vijay Kumar Dubey (2024-2029)","Elected MP","148900000"
"529","Jharkhand","Vijay Kumar Hansdak (2024-2029)","Elected MP","147223957.11"
"530","Bihar","VIJAYLAKSHMI DEVI (2024-2029)","Elected MP","147000000"
"531","Gujarat","Vinod Chavda (2024-2029)","Elected MP","147000000"
"532","Uttar Pradesh","VINOD KUMAR BIND (2024-2029)","Elected MP","147000000"
"533","Madhya Pradesh","Virendra Kumar (2024-2029)","Elected MP","147000000"
"534","Uttar Pradesh","VIRENDRA SINGH (2024-2029)","Elected MP","147000000"
"535","Maharashtra","VISHAL (2024-2029)","Elected MP","147000000"
"536","Jharkhand","Vishnu Dayal Ram (2024-2029)","Elected MP","158176083.11"
"537","Madhya Pradesh","Vishnu Dutt Sharma (2024-2029)","Elected MP","147000000"
"538","Karnataka","VISHWESHWAR HEGDE KAGERI (2024-2029)","Elected MP","147000000"
"539","Bihar","VIVEK THAKUR (2024-2029)","Elected MP","147000000"
"540","Andhra Pradesh","Y S Avinash Reddy (2024-2029)","Elected MP","156430260.11"
"541","Karnataka","YADUVEER KRISHNADATTA CHAMARAJA WADIYAR (2024-2029)","Elected MP","147000000"
"542","Delhi","Yogendra Chandoliya (2024-2029)","Elected MP","147876307"
"543","Uttar Pradesh","ZIA UR REHMAN (2024-2029)","Elected MP","147000000"
"Grand Total"," "," "," ","83,35,20,84,246.34"
